"","TIME_PERIOD","Cna_produit","OBS_VALUE"
"371",1995-01-01,"Biens manufacturés",0.010892325105278
"372",1995-01-01,"Biens industriels",0.00553937315867441
"373",1994-10-01,"Biens",0.00356867607144054
"374",1994-10-01,"Biens manufacturés",0.00925175082934021
"375",1994-10-01,"Biens industriels",0.00261367824950575
"376",1994-07-01,"Biens",0.000912941368122395
"377",1994-07-01,"Biens manufacturés",0.00654670594463978
"378",1994-07-01,"Biens industriels",0.000264719058414672
"379",1994-04-01,"Biens",0.00204045239744583
"380",1994-04-01,"Biens manufacturés",0.00825440154731449
"381",1994-04-01,"Biens industriels",0.000970500888196926
"382",1994-01-01,"Biens",0.00082396951660455
"383",1994-01-01,"Biens manufacturés",0.00617803304222062
"384",1994-01-01,"Biens industriels",-0.00102213940034489
"385",1993-10-01,"Biens",0.00501032568870065
"386",1993-10-01,"Biens manufacturés",0.00947368790123803
"387",1993-10-01,"Biens industriels",0.00239822447240815
"388",1993-07-01,"Biens",0.00432627214261537
"389",1993-07-01,"Biens manufacturés",0.00853618977772763
"390",1993-07-01,"Biens industriels",0.00112476023919666
"391",1993-04-01,"Biens",0.00336743167081854
"392",1993-04-01,"Biens manufacturés",0.00724722178053391
"393",1993-04-01,"Biens industriels",-7.77371424533135e-05
"394",1993-01-01,"Biens",0.00308028933476372
"395",1993-01-01,"Biens manufacturés",0.00870978363622845
"396",1993-01-01,"Biens industriels",0.000258461059123852
"397",1992-10-01,"Biens",-0.00498248484094102
"398",1992-10-01,"Biens manufacturés",0.000505005601294521
"399",1992-10-01,"Biens industriels",-0.00782403044259118
"400",1992-07-01,"Biens",-0.004870632719401
"401",1992-07-01,"Biens manufacturés",0.000323996767153137
"402",1992-07-01,"Biens industriels",-0.00800378826989287
"403",1992-04-01,"Biens",-0.0038764675198468
"404",1992-04-01,"Biens manufacturés",0.00179353612438995
"405",1992-04-01,"Biens industriels",-0.00738136580276819
"406",1992-01-01,"Biens",-0.00671474846537932
"407",1992-01-01,"Biens manufacturés",-0.000239812445192118
"408",1992-01-01,"Biens industriels",-0.00967840077312669
"409",1991-10-01,"Biens",-0.0107248735685636
"410",1991-10-01,"Biens manufacturés",-0.00222708248561297
"411",1991-10-01,"Biens industriels",-0.0134751206184968
"412",1991-07-01,"Biens",-0.0132723229684209
"413",1991-07-01,"Biens manufacturés",-0.00354466795341294
"414",1991-07-01,"Biens industriels",-0.0152795003706123
"415",1991-04-01,"Biens",-0.0147959580688551
"416",1991-04-01,"Biens manufacturés",-0.00678472307139337
"417",1991-04-01,"Biens industriels",-0.0173638516179953
"418",1991-01-01,"Biens",-0.0204589262163574
"419",1991-01-01,"Biens manufacturés",-0.0120987589378642
"420",1991-01-01,"Biens industriels",-0.0233258060516339
"421",1990-10-01,"Biens",-0.0201667562798658
"422",1990-10-01,"Biens manufacturés",-0.00855364296586873
"423",1990-10-01,"Biens industriels",-0.022370483684087
"424",1990-07-01,"Biens",-0.0188175014963269
"425",1990-07-01,"Biens manufacturés",-0.0112882135191701
"426",1990-07-01,"Biens industriels",-0.022199009565055
"427",1990-04-01,"Biens",-0.0171418052967028
"428",1990-04-01,"Biens manufacturés",-0.0105420185146837
"429",1990-04-01,"Biens industriels",-0.0210341839043434
"430",1990-01-01,"Biens",-0.0151516917899515
"431",1990-01-01,"Biens manufacturés",-0.00728633549786073
"432",1990-01-01,"Biens industriels",-0.0198149465085823
"433",1989-10-01,"Biens",-0.0220054473209478
"434",1989-10-01,"Biens manufacturés",-0.0118614824101841
"435",1989-10-01,"Biens industriels",-0.0249216898485676
"436",1989-07-01,"Biens",-0.0180999831516114
"437",1989-07-01,"Biens manufacturés",-0.0121468858561789
"438",1989-07-01,"Biens industriels",-0.0219309857911923
"439",1989-04-01,"Biens",-0.0204306787071467
"440",1989-04-01,"Biens manufacturés",-0.0129040166714338
"441",1989-04-01,"Biens industriels",-0.0240591672455359
"442",1989-01-01,"Biens",-0.0170847311435574
"443",1989-01-01,"Biens manufacturés",-0.0106074617148592
"444",1989-01-01,"Biens industriels",-0.0210490522535673
"445",1988-10-01,"Biens",-0.0187971038410921
"446",1988-10-01,"Biens manufacturés",-0.0127881242250744
"447",1988-10-01,"Biens industriels",-0.0228849026502985
"448",1988-07-01,"Biens",-0.0160686238975474
"449",1988-07-01,"Biens manufacturés",-0.00933309169989126
"450",1988-07-01,"Biens industriels",-0.0188344638326516
"451",1988-04-01,"Biens",-0.0127091867622949
"452",1988-04-01,"Biens manufacturés",-0.00638552672862174
"453",1988-04-01,"Biens industriels",-0.0162400074240034
"454",1988-01-01,"Biens",-0.0140427747948354
"455",1988-01-01,"Biens manufacturés",-0.00655898144988956
"456",1988-01-01,"Biens industriels",-0.0165837628171746
"457",1987-10-01,"Biens",-0.0156914893617021
"458",1987-10-01,"Biens manufacturés",-0.00591526045487894
"459",1987-10-01,"Biens industriels",-0.0187866837857667
"460",1987-07-01,"Biens",-0.0106540770443709
"461",1987-07-01,"Biens manufacturés",-0.000842219529199283
"462",1987-07-01,"Biens industriels",-0.0134848704619574
"463",1987-04-01,"Biens",-0.0155164306985006
"464",1987-04-01,"Biens manufacturés",-0.00601754444291407
"465",1987-04-01,"Biens industriels",-0.0174114585064901
"466",1987-01-01,"Biens",-0.0153844665734861
"467",1987-01-01,"Biens manufacturés",-0.00414476197845884
"468",1987-01-01,"Biens industriels",-0.0173045021691082
"469",1986-10-01,"Biens",-0.00691169414057009
"470",1986-10-01,"Biens manufacturés",0.00275304507141922
"471",1986-10-01,"Biens industriels",-0.00848209308975993
"472",1986-07-01,"Biens",-0.00655991305667471
"473",1986-07-01,"Biens manufacturés",0.004151347964224
"474",1986-07-01,"Biens industriels",-0.00887546445653078
"475",1986-04-01,"Biens",-0.0117908654445381
"476",1986-04-01,"Biens manufacturés",0.00191445764511739
"477",1986-04-01,"Biens industriels",-0.0136405107214614
"478",1986-01-01,"Biens",-0.0114102453329809
"479",1986-01-01,"Biens manufacturés",0.00892997819601226
"480",1986-01-01,"Biens industriels",-0.014571569429691
"481",1985-10-01,"Biens",-0.0195856776167388
"482",1985-10-01,"Biens manufacturés",0.00759158910005445
"483",1985-10-01,"Biens industriels",-0.023749643496072
"484",1985-07-01,"Biens",-0.0202707341935279
"485",1985-07-01,"Biens manufacturés",0.00634846860360099
"486",1985-07-01,"Biens industriels",-0.0222671744033126
"487",1985-04-01,"Biens",-0.0172931724749442
"488",1985-04-01,"Biens manufacturés",0.0144557594647607
"489",1985-04-01,"Biens industriels",-0.0203509149044791
"490",1985-01-01,"Biens",-0.027909431804436
"491",1985-01-01,"Biens manufacturés",0.0109361426042205
"492",1985-01-01,"Biens industriels",-0.0306640861255595
"493",1984-10-01,"Biens",-0.0221157885891942
"494",1984-10-01,"Biens manufacturés",0.0130241156205361
"495",1984-10-01,"Biens industriels",-0.0251911604066885
"496",1984-07-01,"Biens",-0.0114242753131642
"497",1984-07-01,"Biens manufacturés",0.0176310315199204
"498",1984-07-01,"Biens industriels",-0.0151325012436124
"499",1984-04-01,"Biens",-0.0188385758727964
"500",1984-04-01,"Biens manufacturés",0.0166724276990437
"501",1984-04-01,"Biens industriels",-0.0202788339670469
"502",1984-01-01,"Biens",-0.0256538084820617
"503",1984-01-01,"Biens manufacturés",0.0186157265939789
"504",1984-01-01,"Biens industriels",-0.026445592694471
"505",1983-10-01,"Biens",-0.0201901378018918
